,Q1: Dermatology | Newborn Rashes (ETN),Q2: Infectious Dis. | Congenital Pneumonia,Q3: Endocrinology | Hypoglycemia Risks,Q4: Endocrinology | IDM Complications,Q5: Gastroenterology | NEC (Imaging/Dx),Q6: Neurology | Birth Trauma (Heme),Q7: Infectious Dis. | Hepatitis B (HBV),Q8: Cardiology | Cyanotic CHD (Tricuspid),Q9: Cardiology | Duct-dependent (HLHS),Q10: Cardiology | Anti-arrhythmics,Q11: Adverse Exposures to the Fetus | Prenatal Environmental Exposure (Smoking),Q12: Perinatal Transition and Newborn Resuscitation | NRP Algorithm,Q13: Hematology | Vit K Deficiency (VKDB),Q14: Pulmonology | PPHN (Risk Factors),Q15: Hematology | Hyperbilirubinemia,Q16: Hematology | Hemolysis (G6PD),Q17: Nephrology | Renal Venous Thrombosis,Q18: Gastroenterology | Pyloric Stenosis (HPS),Q19: Hematology | Factor XIII Deficiency,Q20: Physiology | Fetal Circulation,Q21: Genetics | Syndromic CHD,Q22: Cardiology | Pulse Pressure (Truncus),Q23: Nephrology | ARPKD (Genetics),Q24: Endocrinology | Ambiguous Genitalia,Q25: Gastroenterology | NEC General Features,Q26: Infectious Dis. | Congenital CMV,Q27: Assessment | Ballard Score,Q28: Infectious Dis. | Early-Onset Sepsis,Q29: Cardiology | PPHN Treatment (NO),Q30: Pulm / Surgery | Resp. Distress (Diff Dx),Q31: Cardiology | S2 Heart Sounds,Q32: Cardiology | Pulmonary Blood Flow,Q33: Genetics | RASopathies,Q34: Perinatology | Teratogens,Q35: Metabolism | NKH Presentation,Q36: Neurology | IVH Staging,Q37: Infectious Dis. | RSV Prophylaxis,Q38: Surgery | CDH Management,"Q39: Fluid, Electrolytes, and Acid-Base Homeostasis | VLBW Complications",Q40: Neurology/Infectious Disease | Neonatal HSV (Acyclovir),Q41: Metabolism | Urea Cycle (OTC),Q42: Endocrinology | CAH Enzyme Def.,Q43: Infectious Dis. | HBV Follow-up,Q44: Toxicology/Perinatology | Minamata Disease,Q45: Neurology | HIE Sarnat Staging,Q46: Neurology | Kernicterus,Q47: Hematology | Vit K / Drugs,Q48: Pharmacology | Drug Side Effects,Q49: Pulmonology | Surfactant Proteins,Q50: Genetics | BWS and Tumors,Q51: Gastroenterology | GALD Diagnosis,Q52: Hematology | Neonatal ITP,Q53: Gastroenterology | Congenital Diarrhea,Q54: Neurology | PVL and CP Types,Q55: Cardiology | Pulm Venous HT,Q56: Genetics | 22q11 (DiGeorge),Q57: Infectious Dis. | Toxoplasmosis,Q58: Physiology | Hb-O2 Curve,Q59: Gastroenterology | Malabsorption,Q60: Cardiology | PGE1 Application,Q61: Terminology | Gestational Definitions,Q62: Neurology | aEEG Monitoring,Q63: Nephrology | Hepatic Fibrosis,Q64: Endocrinology | Cong. Hypothyroid,Q65: Infectious Dis. | Varicella,Q66: Rheumatology | Neonatal Lupus,Q67: Nutrition | Vitamin C / TPN,Q68: Development | Red Flags,Q69: Assessment | Ballard Criteria,Q70: Pharmacology | Caffeine Mechanism,Q71: Ophthalmology | ROP Risks,Q72: Gastroenterology | NEC Prevention,Q73: Endocrinology | Hyperinsulinism Tx,Q74: Neurology | Sarnat Stage II,Q75: Hematology | IVIG in Hemolysis,Q76: Metabolism | NKH Seizures,Q77: Infectious Dis. | Rubella Features,Q78: Cardiology | Lithium Effects,Q79: Social / Abuse | Mandatory Screens,Q80: Genetics | Noonan Syndrome,Q81: Cardiology | Heart Failure Causes,Q82: Infectious Dis. | Rubella Sequelae,Q83: Genetics | Barth Syndrome,Q84: Cardiology | Hydrops Fetalis,Q85: Pulmonology | Pulm Hypoplasia,Q86: Gastroenterology | Erythromycin & HPS,Q87: Pulmonology | BPD Pathogenesis,Q88: Neurology | Acute Bili Enceph.,Q89: Cardiology | PGE1 in Cyanosis,Q90: Nutrition | Breastfeeding Contra.,Q91: Nephrology | CNS Genetics,Q92: Endocrinology | Hyperinsulinism Lab,Q93: Neurology | Autism & Valproate,Q94: Neurology | HIE Cooling (aEEG),Q95: Perinatology | Polyhydramnios,Q96: Ventilation | PaCO2 Adjustment,Q97: Pernatalogy/Hematology | Rh Transfusion,Q98: Hematology/Neurology | Chronic Kernicterus,Q99: Hematology | VKDB Prevention,Q100: Metabolism | Dx Importance,Q101: Infectious Dis. | Parvovirus,Q102: Infectious Dis. | Sepsis Tx,Q103: Social / Abuse | Abuse Signs,Q104: Rheumatology | Maternal Sjögren,Q105: Cardiology | VSD Surgery,Q106: Metabolism | OTC Clinical,Q107: Metabolism | Untreatable Tx,Q108: Metabolism | NKH Diagnosis,Q109: Metabolism | Rickets Lab,Q110: Endocrinology | Cong. Hypothyroid,Q111: Genetics | FAS Microcephaly,Q112: Genetics | VACTERL Association,Q113: Genetics | Turner Edema,Q114: Perinatology | Polyhydramnios Causes,Q115: Infectious Dis. | Palivizumab,Q116: Infectious Dis. | Rubella Rash,Q117: Pulmonology | TTN Management,Q118: Gastroenterology | CF Echogenic Bowel,Q119: Hematology | Factor VII Def.,Q120: Cardiology | EKG Axis,Q121: Pharmacology | Indomethacin Contra.,Q122: Cardiology | Murmur Local,Q123: Infectious Dis. | CMV Sequelae,Q124: Gastroenterology | Diarrhea Diff.,Q125: Nephrology | PUV Imaging,Q126: Nephrology | CNS Finnish,Q127: Cardiology | Pulm Flow (Ebstein)
Gemini 3.1 Pro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ChatGPT-5.4 Thinking,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Grok 4.2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Llama 4,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1
ChatGPT-5.4,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Llama 3.3,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0
Grok 4,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
Gemma 4,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
ChatGPT-5.5 Thinking,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DeepSeek-V4,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
